city,years,smartmeter_cut,smartmeter_cut_count,companies
'S-GRAVENHAGE,2019,85,760,stedin
'S-GRAVENHAGE,2019,95,688,stedin
'S-GRAVENZANDE,2013,5,1,stedin
'S-GRAVENZANDE,2014,5,1,stedin
'S-GRAVENZANDE,2015,5,1,stedin
'S-GRAVENZANDE,2016,5,1,stedin
'S-GRAVENZANDE,2017,15,1,stedin
'S-GRAVENZANDE,2018,15,1,stedin
'S-HEERENBERG,2010,5,185,liander
'S-HEERENBERG,2011,5,186,liander
'S-HEERENBERG,2012,5,187,liander
'S-HEERENBERG,2013,5,184,liander
'S-HEERENBERG,2013,15,4,liander
'S-HEERENBERG,2013,75,1,liander
'S-HEERENBERG,2014,5,146,liander
'S-HEERENBERG,2014,15,29,liander
'S-HEERENBERG,2014,25,9,liander
'S-HEERENBERG,2014,35,5,liander
'S-HEERENBERG,2014,75,2,liander
'S-HEERENBERG,2014,85,1,liander
'S-HEERENBERG,2014,95,3,liander
'S-HEERENBERG,2015,5,129,liander
'S-HEERENBERG,2015,15,40,liander
'S-HEERENBERG,2015,25,12,liander
'S-HEERENBERG,2015,35,6,liander
'S-HEERENBERG,2015,55,1,liander
'S-HEERENBERG,2015,65,1,liander
'S-HEERENBERG,2015,75,3,liander
'S-HEERENBERG,2015,85,1,liander
'S-HEERENBERG,2015,95,2,liander
'S-HEERENBERG,2016,5,105,liander
'S-HEERENBERG,2016,15,54,liander
'S-HEERENBERG,2016,25,19,liander
'S-HEERENBERG,2016,35,6,liander
'S-HEERENBERG,2016,45,3,liander
'S-HEERENBERG,2016,55,2,liander
'S-HEERENBERG,2016,75,2,liander
'S-HEERENBERG,2016,95,5,liander
'S-HEERENBERG,2017,5,71,liander
'S-HEERENBERG,2017,15,57,liander
'S-HEERENBERG,2017,25,43,liander
'S-HEERENBERG,2017,35,11,liander
'S-HEERENBERG,2017,45,3,liander
'S-HEERENBERG,2017,55,2,liander
'S-HEERENBERG,2017,65,2,liander
'S-HEERENBERG,2017,75,2,liander
'S-HEERENBERG,2017,85,1,liander
'S-HEERENBERG,2017,95,5,liander
'S-HEERENBERG,2018,5,30,liander
'S-HEERENBERG,2018,15,49,liander
'S-HEERENBERG,2018,25,42,liander
'S-HEERENBERG,2018,35,20,liander
'S-HEERENBERG,2018,45,18,liander
'S-HEERENBERG,2018,55,7,liander
'S-HEERENBERG,2018,65,9,liander
'S-HEERENBERG,2018,75,9,liander
'S-HEERENBERG,2018,85,6,liander
'S-HEERENBERG,2018,95,7,liander
'S-HEERENBERG,2019,5,1,liander
'S-HEERENBERG,2019,15,3,liander
'S-HEERENBERG,2019,25,5,liander
'S-HEERENBERG,2019,35,3,liander
'S-HEERENBERG,2019,45,6,liander
'S-HEERENBERG,2019,55,8,liander
'S-HEERENBERG,2019,65,21,liander
'S-HEERENBERG,2019,75,44,liander
'S-HEERENBERG,2019,85,67,liander
'S-HEERENBERG,2019,95,41,liander
'S-HEERENBROEK,2010,5,8,enexis
'S-HEERENBROEK,2011,5,8,enexis
'S-HEERENBROEK,2012,5,8,enexis
'S-HEERENBROEK,2013,5,8,enexis
'S-HEERENBROEK,2014,5,5,enexis
'S-HEERENBROEK,2014,15,2,enexis
'S-HEERENBROEK,2014,25,1,enexis
'S-HEERENBROEK,2015,5,4,enexis
'S-HEERENBROEK,2015,15,3,enexis
'S-HEERENBROEK,2015,25,1,enexis
'S-HEERENBROEK,2016,5,3,enexis
'S-HEERENBROEK,2016,15,4,enexis
'S-HEERENBROEK,2016,35,1,enexis
'S-HEERENBROEK,2017,5,1,enexis
'S-HEERENBROEK,2017,15,3,enexis
'S-HEERENBROEK,2017,25,2,enexis
'S-HEERENBROEK,2017,35,1,enexis
'S-HEERENBROEK,2017,65,1,enexis
'S-HEERENBROEK,2017,95,1,enexis
'S-HEERENBROEK,2018,15,3,enexis
'S-HEERENBROEK,2018,25,4,enexis
'S-HEERENBROEK,2018,45,1,enexis
'S-HEERENBROEK,2018,65,1,enexis
'S-HEERENBROEK,2018,95,1,enexis
'S-HEERENBROEK,2019,15,1,enexis
'S-HEERENBROEK,2019,25,4,enexis
'S-HEERENBROEK,2019,35,1,enexis
'S-HEERENBROEK,2019,55,1,enexis
'S-HEERENBROEK,2019,65,2,enexis
'S-HEERENBROEK,2019,95,1,enexis
'S-HERTOGENBOSCH,2010,5,2118,enexis
'S-HERTOGENBOSCH,2011,5,2163,enexis
'S-HERTOGENBOSCH,2012,5,1844,enexis
'S-HERTOGENBOSCH,2012,15,201,enexis
'S-HERTOGENBOSCH,2012,25,53,enexis
'S-HERTOGENBOSCH,2012,35,26,enexis
'S-HERTOGENBOSCH,2012,45,19,enexis
'S-HERTOGENBOSCH,2012,55,20,enexis
'S-HERTOGENBOSCH,2012,65,9,enexis
'S-HERTOGENBOSCH,2012,75,10,enexis
'S-HERTOGENBOSCH,2012,85,1,enexis
'S-HERTOGENBOSCH,2012,95,8,enexis
'S-HERTOGENBOSCH,2013,5,1562,enexis
'S-HERTOGENBOSCH,2013,15,353,enexis
'S-HERTOGENBOSCH,2013,25,124,enexis
'S-HERTOGENBOSCH,2013,35,59,enexis
'S-HERTOGENBOSCH,2013,45,29,enexis
'S-HERTOGENBOSCH,2013,55,25,enexis
'S-HERTOGENBOSCH,2013,65,19,enexis
'S-HERTOGENBOSCH,2013,75,11,enexis
'S-HERTOGENBOSCH,2013,85,4,enexis
'S-HERTOGENBOSCH,2013,95,16,enexis
'S-HERTOGENBOSCH,2014,5,1060,enexis
'S-HERTOGENBOSCH,2014,15,500,enexis
'S-HERTOGENBOSCH,2014,25,257,enexis
'S-HERTOGENBOSCH,2014,35,117,enexis
'S-HERTOGENBOSCH,2014,45,90,enexis
'S-HERTOGENBOSCH,2014,55,65,enexis
'S-HERTOGENBOSCH,2014,65,47,enexis
'S-HERTOGENBOSCH,2014,75,37,enexis
'S-HERTOGENBOSCH,2014,85,19,enexis
'S-HERTOGENBOSCH,2014,95,31,enexis
'S-HERTOGENBOSCH,2015,5,853,enexis
'S-HERTOGENBOSCH,2015,15,492,enexis
'S-HERTOGENBOSCH,2015,25,299,enexis
'S-HERTOGENBOSCH,2015,35,126,enexis
'S-HERTOGENBOSCH,2015,45,91,enexis
'S-HERTOGENBOSCH,2015,55,86,enexis
'S-HERTOGENBOSCH,2015,65,49,enexis
'S-HERTOGENBOSCH,2015,75,84,enexis
'S-HERTOGENBOSCH,2015,85,69,enexis
'S-HERTOGENBOSCH,2015,95,81,enexis
'S-HERTOGENBOSCH,2016,5,703,enexis
'S-HERTOGENBOSCH,2016,15,507,enexis
'S-HERTOGENBOSCH,2016,25,329,enexis
'S-HERTOGENBOSCH,2016,35,156,enexis
'S-HERTOGENBOSCH,2016,45,108,enexis
'S-HERTOGENBOSCH,2016,55,96,enexis
'S-HERTOGENBOSCH,2016,65,64,enexis
'S-HERTOGENBOSCH,2016,75,90,enexis
'S-HERTOGENBOSCH,2016,85,83,enexis
'S-HERTOGENBOSCH,2016,95,98,enexis
'S-HERTOGENBOSCH,2017,5,320,enexis
'S-HERTOGENBOSCH,2017,15,260,enexis
'S-HERTOGENBOSCH,2017,25,192,enexis
'S-HERTOGENBOSCH,2017,35,109,enexis
'S-HERTOGENBOSCH,2017,45,73,enexis
'S-HERTOGENBOSCH,2017,55,77,enexis
'S-HERTOGENBOSCH,2017,65,89,enexis
'S-HERTOGENBOSCH,2017,75,232,enexis
'S-HERTOGENBOSCH,2017,85,414,enexis
'S-HERTOGENBOSCH,2017,95,468,enexis
'S-HERTOGENBOSCH,2018,5,55,enexis
'S-HERTOGENBOSCH,2018,15,57,enexis
'S-HERTOGENBOSCH,2018,25,60,enexis
'S-HERTOGENBOSCH,2018,35,54,enexis
'S-HERTOGENBOSCH,2018,45,32,enexis
'S-HERTOGENBOSCH,2018,55,46,enexis
'S-HERTOGENBOSCH,2018,65,115,enexis
'S-HERTOGENBOSCH,2018,75,351,enexis
'S-HERTOGENBOSCH,2018,85,708,enexis
'S-HERTOGENBOSCH,2018,95,848,enexis
'S-HERTOGENBOSCH,2019,5,43,enexis
'S-HERTOGENBOSCH,2019,15,58,enexis
'S-HERTOGENBOSCH,2019,25,57,enexis
'S-HERTOGENBOSCH,2019,35,51,enexis
'S-HERTOGENBOSCH,2019,45,34,enexis
'S-HERTOGENBOSCH,2019,55,44,enexis
'S-HERTOGENBOSCH,2019,65,100,enexis
'S-HERTOGENBOSCH,2019,75,310,enexis
'S-HERTOGENBOSCH,2019,85,675,enexis
'S-HERTOGENBOSCH,2019,95,969,enexis
'SâGRAVENHAGE,2016,5,1,stedin
'SâGRAVENHAGE,2017,5,1,stedin
'SâGRAVENHAGE,2018,15,1,stedin
'T GOY,2010,5,14,stedin
'T GOY,2011,5,13,stedin
'T GOY,2012,5,14,stedin
'T GOY,2013,5,13,stedin
'T GOY,2013,15,1,stedin
'T GOY,2014,5,11,stedin
'T GOY,2014,15,3,stedin
'T GOY,2015,5,9,stedin
'T GOY,2015,15,5,stedin
'T GOY,2016,5,1,stedin
'T GOY,2016,25,1,stedin
'T GOY,2016,35,2,stedin
'T GOY,2016,45,2,stedin
'T GOY,2016,55,4,stedin
'T GOY,2016,65,1,stedin
'T GOY,2016,75,1,stedin
'T GOY,2016,85,1,stedin
'T GOY,2016,95,1,stedin
'T GOY,2017,35,1,stedin
'T GOY,2017,55,2,stedin
'T GOY,2017,65,2,stedin
'T GOY,2017,75,5,stedin
'T GOY,2017,85,2,stedin
'T GOY,2017,95,2,stedin
'T GOY,2018,35,1,stedin
'T GOY,2018,55,2,stedin
'T GOY,2018,65,1,stedin
'T GOY,2018,75,6,stedin
'T GOY,2018,85,2,stedin
'T GOY,2018,95,2,stedin
'T GOY,2019,35,1,stedin
'T GOY,2019,65,2,stedin
'T GOY,2019,75,3,stedin
'T GOY,2019,85,5,stedin
'T GOY,2019,95,2,stedin
'T HAANTJE,2010,5,4,enexis
'T HAANTJE,2011,5,4,enexis
'T HAANTJE,2012,5,4,enexis
