city,years,c_per_conn_cut,c_per_conn_cut_count,companies
'S-GRAVENHAGE,2010,10,991,stedin
'S-GRAVENHAGE,2010,30,1020,stedin
'S-GRAVENHAGE,2010,50,2035,stedin
'S-GRAVENHAGE,2010,70,2157,stedin
'S-GRAVENHAGE,2010,90,1411,stedin
'S-GRAVENHAGE,2010,110,888,stedin
'S-GRAVENHAGE,2010,130,572,stedin
'S-GRAVENHAGE,2010,150,352,stedin
'S-GRAVENHAGE,2010,170,231,stedin
'S-GRAVENHAGE,2010,190,706,stedin
'S-GRAVENHAGE,2011,10,1000,stedin
'S-GRAVENHAGE,2011,30,1025,stedin
'S-GRAVENHAGE,2011,50,2045,stedin
'S-GRAVENHAGE,2011,70,2164,stedin
'S-GRAVENHAGE,2011,90,1409,stedin
'S-GRAVENHAGE,2011,110,888,stedin
'S-GRAVENHAGE,2011,130,570,stedin
'S-GRAVENHAGE,2011,150,356,stedin
'S-GRAVENHAGE,2011,170,230,stedin
'S-GRAVENHAGE,2011,190,711,stedin
'S-GRAVENHAGE,2012,10,1000,stedin
'S-GRAVENHAGE,2012,30,1028,stedin
'S-GRAVENHAGE,2012,50,2048,stedin
'S-GRAVENHAGE,2012,70,2175,stedin
'S-GRAVENHAGE,2012,90,1409,stedin
'S-GRAVENHAGE,2012,110,888,stedin
'S-GRAVENHAGE,2012,130,564,stedin
'S-GRAVENHAGE,2012,150,361,stedin
'S-GRAVENHAGE,2012,170,230,stedin
'S-GRAVENHAGE,2012,190,713,stedin
'S-GRAVENHAGE,2013,10,1003,stedin
'S-GRAVENHAGE,2013,30,1049,stedin
'S-GRAVENHAGE,2013,50,2076,stedin
'S-GRAVENHAGE,2013,70,2197,stedin
'S-GRAVENHAGE,2013,90,1369,stedin
'S-GRAVENHAGE,2013,110,899,stedin
'S-GRAVENHAGE,2013,130,545,stedin
'S-GRAVENHAGE,2013,150,370,stedin
'S-GRAVENHAGE,2013,170,227,stedin
'S-GRAVENHAGE,2013,190,687,stedin
'S-GRAVENHAGE,2014,10,1038,stedin
'S-GRAVENHAGE,2014,30,1069,stedin
'S-GRAVENHAGE,2014,50,2144,stedin
'S-GRAVENHAGE,2014,70,2131,stedin
'S-GRAVENHAGE,2014,90,1416,stedin
'S-GRAVENHAGE,2014,110,849,stedin
'S-GRAVENHAGE,2014,130,554,stedin
'S-GRAVENHAGE,2014,150,332,stedin
'S-GRAVENHAGE,2014,170,228,stedin
'S-GRAVENHAGE,2014,190,679,stedin
'S-GRAVENHAGE,2015,10,1043,stedin
'S-GRAVENHAGE,2015,30,1129,stedin
'S-GRAVENHAGE,2015,50,2255,stedin
'S-GRAVENHAGE,2015,70,2187,stedin
'S-GRAVENHAGE,2015,90,1375,stedin
'S-GRAVENHAGE,2015,110,801,stedin
'S-GRAVENHAGE,2015,130,501,stedin
'S-GRAVENHAGE,2015,150,318,stedin
'S-GRAVENHAGE,2015,170,212,stedin
'S-GRAVENHAGE,2015,190,639,stedin
'S-GRAVENHAGE,2016,10,1074,stedin
'S-GRAVENHAGE,2016,30,1205,stedin
'S-GRAVENHAGE,2016,50,2389,stedin
'S-GRAVENHAGE,2016,70,2147,stedin
'S-GRAVENHAGE,2016,90,1304,stedin
'S-GRAVENHAGE,2016,110,797,stedin
'S-GRAVENHAGE,2016,130,483,stedin
'S-GRAVENHAGE,2016,150,292,stedin
'S-GRAVENHAGE,2016,170,192,stedin
'S-GRAVENHAGE,2016,190,596,stedin
'S-GRAVENHAGE,2017,10,1074,stedin
'S-GRAVENHAGE,2017,30,1259,stedin
'S-GRAVENHAGE,2017,50,2489,stedin
'S-GRAVENHAGE,2017,70,2084,stedin
'S-GRAVENHAGE,2017,90,1307,stedin
'S-GRAVENHAGE,2017,110,798,stedin
'S-GRAVENHAGE,2017,130,438,stedin
'S-GRAVENHAGE,2017,150,284,stedin
'S-GRAVENHAGE,2017,170,204,stedin
'S-GRAVENHAGE,2017,190,565,stedin
'S-GRAVENHAGE,2018,10,1100,stedin
'S-GRAVENHAGE,2018,30,1279,stedin
'S-GRAVENHAGE,2018,50,2468,stedin
'S-GRAVENHAGE,2018,70,2135,stedin
'S-GRAVENHAGE,2018,90,1296,stedin
'S-GRAVENHAGE,2018,110,771,stedin
'S-GRAVENHAGE,2018,130,458,stedin
'S-GRAVENHAGE,2018,150,276,stedin
'S-GRAVENHAGE,2018,170,200,stedin
'S-GRAVENHAGE,2018,190,554,stedin
'S-GRAVENHAGE,2019,10,910,stedin
'S-GRAVENHAGE,2019,30,1221,stedin
'S-GRAVENHAGE,2019,50,2332,stedin
'S-GRAVENHAGE,2019,70,2120,stedin
'S-GRAVENHAGE,2019,90,1302,stedin
'S-GRAVENHAGE,2019,110,780,stedin
'S-GRAVENHAGE,2019,130,462,stedin
'S-GRAVENHAGE,2019,150,297,stedin
'S-GRAVENHAGE,2019,170,183,stedin
