city,years,lowtarif_cut,lowtarif_cut_count,companies
TEN BOER,2014,35,34,enexis
TEN BOER,2014,45,21,enexis
TEN BOER,2014,55,2,enexis
TEN BOER,2015,5,6,enexis
TEN BOER,2015,15,12,enexis
TEN BOER,2015,25,23,enexis
TEN BOER,2015,35,32,enexis
TEN BOER,2015,45,20,enexis
TEN BOER,2015,55,3,enexis
TEN BOER,2016,5,3,enexis
TEN BOER,2016,15,10,enexis
TEN BOER,2016,25,24,enexis
TEN BOER,2016,35,31,enexis
TEN BOER,2016,45,25,enexis
TEN BOER,2016,55,3,enexis
TEN BOER,2017,5,2,enexis
TEN BOER,2017,15,9,enexis
TEN BOER,2017,25,21,enexis
TEN BOER,2017,35,28,enexis
TEN BOER,2017,45,30,enexis
TEN BOER,2017,55,7,enexis
TEN BOER,2018,5,3,enexis
TEN BOER,2018,15,10,enexis
TEN BOER,2018,25,24,enexis
TEN BOER,2018,35,32,enexis
TEN BOER,2018,45,32,enexis
TEN BOER,2018,55,2,enexis
TEN BOER,2019,15,1,enexis
TEN BOER,2019,25,4,enexis
TEN BOER,2019,35,7,enexis
TEN BOER,2019,45,67,enexis
TEN BOER,2019,55,24,enexis
TEN POST,2010,5,2,enexis
TEN POST,2010,15,1,enexis
TEN POST,2010,25,2,enexis
TEN POST,2010,35,8,enexis
TEN POST,2010,45,4,enexis
TEN POST,2011,5,3,enexis
TEN POST,2011,15,2,enexis
TEN POST,2011,25,2,enexis
TEN POST,2011,35,9,enexis
TEN POST,2011,45,3,enexis
TEN POST,2012,5,3,enexis
TEN POST,2012,15,2,enexis
TEN POST,2012,25,5,enexis
TEN POST,2012,35,5,enexis
TEN POST,2012,45,3,enexis
TEN POST,2012,55,1,enexis
TEN POST,2013,5,2,enexis
TEN POST,2013,15,2,enexis
TEN POST,2013,25,5,enexis
TEN POST,2013,35,6,enexis
TEN POST,2013,45,5,enexis
TEN POST,2014,5,2,enexis
TEN POST,2014,15,2,enexis
TEN POST,2014,25,3,enexis
TEN POST,2014,35,8,enexis
TEN POST,2014,45,5,enexis
TEN POST,2015,5,3,enexis
TEN POST,2015,15,1,enexis
TEN POST,2015,25,3,enexis
TEN POST,2015,35,7,enexis
TEN POST,2015,45,6,enexis
TEN POST,2015,55,1,enexis
TEN POST,2016,5,3,enexis
TEN POST,2016,25,3,enexis
TEN POST,2016,35,6,enexis
TEN POST,2016,45,9,enexis
TEN POST,2017,5,3,enexis
TEN POST,2017,15,1,enexis
TEN POST,2017,25,1,enexis
TEN POST,2017,35,8,enexis
TEN POST,2017,45,8,enexis
TEN POST,2018,5,2,enexis
TEN POST,2018,15,1,enexis
TEN POST,2018,25,3,enexis
TEN POST,2018,35,5,enexis
TEN POST,2018,45,10,enexis
TEN POST,2018,55,3,enexis
TEN POST,2019,25,1,enexis
TEN POST,2019,35,2,enexis
TEN POST,2019,45,14,enexis
TEN POST,2019,55,7,enexis
TER AAR,2010,5,1,liander
TER AAR,2010,15,2,liander
TER AAR,2010,25,1,liander
TER AAR,2010,35,2,liander
TER AAR,2010,45,2,liander
TER AAR,2010,55,16,liander
TER AAR,2010,65,18,liander
TER AAR,2010,75,40,liander
TER AAR,2010,85,59,liander
TER AAR,2010,95,46,liander
TER AAR,2011,5,2,liander
TER AAR,2011,15,1,liander
TER AAR,2011,25,1,liander
TER AAR,2011,35,2,liander
TER AAR,2011,55,10,liander
TER AAR,2011,65,22,liander
TER AAR,2011,75,29,liander
TER AAR,2011,85,53,liander
TER AAR,2011,95,68,liander
TER AAR,2012,5,2,liander
TER AAR,2012,15,2,liander
TER AAR,2012,25,1,liander
TER AAR,2012,35,3,liander
TER AAR,2012,55,12,liander
TER AAR,2012,65,25,liander
TER AAR,2012,75,28,liander
TER AAR,2012,85,57,liander
TER AAR,2012,95,60,liander
TER AAR,2013,5,1,liander
TER AAR,2013,15,2,liander
TER AAR,2013,25,1,liander
TER AAR,2013,35,2,liander
TER AAR,2013,55,9,liander
TER AAR,2013,65,29,liander
TER AAR,2013,75,24,liander
TER AAR,2013,85,61,liander
TER AAR,2013,95,64,liander
TER AAR,2014,5,1,liander
TER AAR,2014,15,2,liander
TER AAR,2014,25,1,liander
TER AAR,2014,35,1,liander
TER AAR,2014,45,1,liander
TER AAR,2014,55,9,liander
TER AAR,2014,65,26,liander
TER AAR,2014,75,28,liander
TER AAR,2014,85,64,liander
TER AAR,2014,95,59,liander
TER AAR,2015,5,1,liander
TER AAR,2015,15,2,liander
TER AAR,2015,25,1,liander
TER AAR,2015,35,1,liander
TER AAR,2015,45,1,liander
TER AAR,2015,55,11,liander
TER AAR,2015,65,23,liander
TER AAR,2015,75,29,liander
TER AAR,2015,85,58,liander
TER AAR,2015,95,64,liander
TER AAR,2016,5,1,liander
TER AAR,2016,15,1,liander
TER AAR,2016,25,1,liander
TER AAR,2016,35,1,liander
TER AAR,2016,45,1,liander
TER AAR,2016,55,9,liander
TER AAR,2016,65,26,liander
TER AAR,2016,75,28,liander
TER AAR,2016,85,55,liander
TER AAR,2016,95,70,liander
TER AAR,2017,5,1,liander
TER AAR,2017,25,1,liander
TER AAR,2017,35,2,liander
TER AAR,2017,45,1,liander
TER AAR,2017,55,9,liander
TER AAR,2017,65,25,liander
TER AAR,2017,75,34,liander
TER AAR,2017,85,54,liander
TER AAR,2017,95,69,liander
TER AAR,2018,5,1,liander
TER AAR,2018,15,1,liander
TER AAR,2018,25,1,liander
TER AAR,2018,35,1,liander
TER AAR,2018,45,2,liander
TER AAR,2018,55,7,liander
TER AAR,2018,65,26,liander
TER AAR,2018,75,31,liander
TER AAR,2018,85,59,liander
TER AAR,2018,95,72,liander
TER AAR,2019,5,1,liander
TER AAR,2019,15,1,liander
TER AAR,2019,25,1,liander
TER AAR,2019,35,1,liander
TER AAR,2019,45,1,liander
TER AAR,2019,55,7,liander
TER AAR,2019,65,27,liander
TER AAR,2019,75,29,liander
TER AAR,2019,85,58,liander
TER AAR,2019,95,75,liander
TER AARD,2010,35,2,enexis
TER AARD,2011,35,2,enexis
TER AARD,2012,35,1,enexis
TER AARD,2012,45,1,enexis
TER AARD,2013,45,2,enexis
TER AARD,2014,35,1,enexis
TER AARD,2014,45,1,enexis
TER AARD,2015,35,1,enexis
TER AARD,2015,45,1,enexis
TER AARD,2016,45,2,enexis
TER AARD,2017,45,2,enexis
TER AARD,2018,45,2,enexis
TER AARD,2019,45,2,enexis
TER APEL,2010,5,9,enexis
TER APEL,2010,15,17,enexis
TER APEL,2010,25,46,enexis
TER APEL,2010,35,68,enexis
TER APEL,2010,45,28,enexis
TER APEL,2010,55,8,enexis
TER APEL,2010,65,6,enexis
TER APEL,2011,5,11,enexis
TER APEL,2011,15,19,enexis
TER APEL,2011,25,45,enexis
TER APEL,2011,35,65,enexis
TER APEL,2011,45,35,enexis
TER APEL,2011,55,8,enexis
TER APEL,2011,65,4,enexis
TER APEL,2012,5,12,enexis
TER APEL,2012,15,21,enexis
TER APEL,2012,25,43,enexis
TER APEL,2012,35,65,enexis
TER APEL,2012,45,40,enexis
TER APEL,2012,55,2,enexis
TER APEL,2012,65,5,enexis
TER APEL,2013,5,10,enexis
TER APEL,2013,15,24,enexis
TER APEL,2013,25,41,enexis
TER APEL,2013,35,68,enexis
TER APEL,2013,45,41,enexis
TER APEL,2013,55,2,enexis
TER APEL,2013,65,6,enexis
TER APEL,2014,5,10,enexis
TER APEL,2014,15,22,enexis
TER APEL,2014,25,40,enexis
TER APEL,2014,35,67,enexis
TER APEL,2014,45,44,enexis
TER APEL,2014,55,3,enexis
TER APEL,2014,65,6,enexis
TER APEL,2015,5,9,enexis
TER APEL,2015,15,17,enexis
TER APEL,2015,25,35,enexis
TER APEL,2015,35,64,enexis
TER APEL,2015,45,49,enexis
TER APEL,2015,55,12,enexis
TER APEL,2015,65,6,enexis
TER APEL,2016,5,8,enexis
TER APEL,2016,15,14,enexis
TER APEL,2016,25,33,enexis
TER APEL,2016,35,67,enexis
TER APEL,2016,45,54,enexis
TER APEL,2016,55,11,enexis
TER APEL,2016,65,6,enexis
TER APEL,2017,5,6,enexis
TER APEL,2017,15,16,enexis
TER APEL,2017,25,34,enexis
TER APEL,2017,35,64,enexis
TER APEL,2017,45,66,enexis
TER APEL,2017,55,5,enexis
TER APEL,2017,65,3,enexis
TER APEL,2018,5,5,enexis
TER APEL,2018,15,16,enexis
TER APEL,2018,25,34,enexis
TER APEL,2018,35,72,enexis
TER APEL,2018,45,67,enexis
TER APEL,2018,55,5,enexis
TER APEL,2018,65,3,enexis
TER APEL,2018,75,1,enexis
TER APEL,2019,15,3,enexis
TER APEL,2019,25,5,enexis
TER APEL,2019,35,18,enexis
TER APEL,2019,45,119,enexis
TER APEL,2019,55,52,enexis
TER APEL,2019,65,6,enexis
TER APELKANAAL,2010,25,8,enexis
TER APELKANAAL,2010,35,10,enexis
TER APELKANAAL,2010,45,4,enexis
TER APELKANAAL,2011,15,2,enexis
TER APELKANAAL,2011,25,7,enexis
TER APELKANAAL,2011,35,10,enexis
TER APELKANAAL,2011,45,4,enexis
TER APELKANAAL,2012,15,2,enexis
TER APELKANAAL,2012,25,8,enexis
TER APELKANAAL,2012,35,9,enexis
TER APELKANAAL,2012,45,4,enexis
TER APELKANAAL,2012,55,1,enexis
TER APELKANAAL,2013,15,1,enexis
TER APELKANAAL,2013,25,9,enexis
TER APELKANAAL,2013,35,6,enexis
TER APELKANAAL,2013,45,8,enexis
TER APELKANAAL,2014,25,11,enexis
TER APELKANAAL,2014,35,9,enexis
TER APELKANAAL,2014,45,4,enexis
TER APELKANAAL,2015,15,1,enexis
TER APELKANAAL,2015,25,6,enexis
TER APELKANAAL,2015,35,11,enexis
TER APELKANAAL,2015,45,6,enexis
TER APELKANAAL,2016,15,1,enexis
TER APELKANAAL,2016,25,4,enexis
TER APELKANAAL,2016,35,13,enexis
TER APELKANAAL,2016,45,6,enexis
TER APELKANAAL,2017,15,1,enexis
TER APELKANAAL,2017,25,7,enexis
TER APELKANAAL,2017,35,11,enexis
TER APELKANAAL,2017,45,5,enexis
TER APELKANAAL,2018,15,1,enexis
TER APELKANAAL,2018,25,10,enexis
TER APELKANAAL,2018,35,6,enexis
TER APELKANAAL,2018,45,10,enexis
TER APELKANAAL,2019,15,1,enexis
TER APELKANAAL,2019,25,5,enexis
TER APELKANAAL,2019,35,12,enexis
TER APELKANAAL,2019,45,8,enexis
TER APELKANAAL,2019,55,1,enexis
TER IDZARD,2010,15,1,liander
TER IDZARD,2010,25,1,liander
TER IDZARD,2010,45,3,liander
TER IDZARD,2010,55,2,liander
TER IDZARD,2011,25,1,liander
TER IDZARD,2011,35,1,liander
TER IDZARD,2011,55,3,liander
TER IDZARD,2011,65,2,liander
TER IDZARD,2012,25,1,liander
TER IDZARD,2012,45,1,liander
TER IDZARD,2012,55,3,liander
TER IDZARD,2012,65,2,liander
TER IDZARD,2013,25,1,liander
TER IDZARD,2013,45,1,liander
TER IDZARD,2013,55,3,liander
TER IDZARD,2013,65,1,liander
TER IDZARD,2013,75,1,liander
TER IDZARD,2014,25,1,liander
TER IDZARD,2014,45,1,liander
TER IDZARD,2014,55,2,liander
TER IDZARD,2014,65,1,liander
TER IDZARD,2014,85,1,liander
TER IDZARD,2015,35,1,liander
TER IDZARD,2015,45,1,liander
TER IDZARD,2015,55,1,liander
TER IDZARD,2015,65,2,liander
TER IDZARD,2015,85,1,liander
TER IDZARD,2016,35,1,liander
TER IDZARD,2016,45,1,liander
TER IDZARD,2016,55,1,liander
TER IDZARD,2016,75,2,liander
TER IDZARD,2016,85,1,liander
TER IDZARD,2017,35,1,liander
TER IDZARD,2017,45,1,liander
TER IDZARD,2017,55,1,liander
TER IDZARD,2017,75,1,liander
TER IDZARD,2017,85,2,liander
TER IDZARD,2018,35,1,liander
TER IDZARD,2018,45,1,liander
TER IDZARD,2018,65,2,liander
TER IDZARD,2018,85,2,liander
TER IDZARD,2019,45,1,liander
TER IDZARD,2019,55,1,liander
TER IDZARD,2019,65,1,liander
TER IDZARD,2019,75,1,liander
TER IDZARD,2019,85,2,liander
TERBAND,2010,15,3,liander
TERBAND,2010,25,1,liander
TERBAND,2010,35,1,liander
TERBAND,2010,55,2,liander
TERBAND,2010,65,1,liander
TERBAND,2011,5,1,liander
TERBAND,2011,15,1,liander
TERBAND,2011,25,2,liander
TERBAND,2011,35,1,liander
TERBAND,2011,45,1,liander
TERBAND,2011,65,1,liander
TERBAND,2011,75,1,liander
TERBAND,2012,15,2,liander
TERBAND,2012,25,2,liander
TERBAND,2012,35,1,liander
TERBAND,2012,45,1,liander
TERBAND,2012,65,2,liander
TERBAND,2013,15,1,liander
TERBAND,2013,25,3,liander
TERBAND,2013,35,1,liander
TERBAND,2013,45,1,liander
TERBAND,2013,75,2,liander
TERBAND,2014,15,1,liander
TERBAND,2014,25,2,liander
TERBAND,2014,45,1,liander
TERBAND,2014,55,1,liander
TERBAND,2014,85,1,liander
TERBAND,2014,95,1,liander
TERBAND,2015,15,1,liander
TERBAND,2015,25,2,liander
TERBAND,2015,45,1,liander
TERBAND,2015,55,1,liander
TERBAND,2015,85,1,liander
TERBAND,2015,95,1,liander
TERBAND,2016,15,1,liander
TERBAND,2016,35,2,liander
TERBAND,2016,55,2,liander
TERBAND,2016,85,1,liander
TERBAND,2016,95,1,liander
TERBAND,2017,15,1,liander
TERBAND,2017,35,1,liander
TERBAND,2017,45,2,liander
TERBAND,2017,55,1,liander
TERBAND,2017,75,1,liander
TERBAND,2017,85,2,liander
TERBAND,2018,15,1,liander
