city,years,companies,annual_consume
BROEKLAND OV,2011,enexis,131.54
BROEKLAND OV,2012,enexis,148.101
BROEKLAND OV,2013,enexis,145.929
BROEKLAND OV,2014,enexis,150.721
BROEKLAND OV,2015,enexis,145.549
BROEKLAND OV,2016,enexis,144.307
BROEKLAND OV,2017,enexis,142.222
BROEKLAND OV,2018,enexis,206.804
BROEKLAND OV,2019,enexis,200.505
BROEKSTERWALD,2010,liander,105.962
BROEKSTERWALD,2011,liander,104.961
BROEKSTERWALD,2012,liander,106.208
BROEKSTERWALD,2013,liander,104.566
BROEKSTERWALD,2014,liander,106.785
BROEKSTERWALD,2015,liander,102.983
BROEKSTERWALD,2016,liander,100.447
BROEKSTERWALD,2017,liander,100.323
BROEKSTERWALD,2018,liander,98.221
BROEKSTERWALD,2019,liander,94.623
BRONKHORST,2010,liander,37.638
BRONKHORST,2011,liander,42.105
BRONKHORST,2012,liander,33.947
BRONKHORST,2013,liander,31.455
BRONKHORST,2014,liander,32.802
BRONKHORST,2015,liander,31.954
BRONKHORST,2016,liander,33.667
BRONKHORST,2017,liander,32.867
BRONKHORST,2018,liander,34.216
BRONKHORST,2019,liander,34.869
BRONNEGER,2010,enexis,18.17
BRONNEGER,2011,enexis,18.251
BRONNEGER,2012,enexis,7.814
BRONNEGER,2013,enexis,7.98
BRONNEGER,2014,enexis,7.188
BRONNEGER,2015,enexis,6.851
BRONNEGER,2016,enexis,6.358
BRONNEGER,2017,enexis,6.815
BRONNEGER,2018,enexis,20.192
BRONNEGER,2019,enexis,19.888
BRONNEGERVEEN,2010,enexis,24.014
BRONNEGERVEEN,2011,enexis,23.816
BRONNEGERVEEN,2012,enexis,8.189
BRONNEGERVEEN,2013,enexis,8.318
BRONNEGERVEEN,2014,enexis,7.694
BRONNEGERVEEN,2015,enexis,7.249
BRONNEGERVEEN,2016,enexis,6.836
BRONNEGERVEEN,2017,enexis,7.043
BRONNEGERVEEN,2018,enexis,15.268
BRONNEGERVEEN,2019,enexis,15.384
BRUCHEM,2010,liander,249.004
BRUCHEM,2011,liander,254.793
BRUCHEM,2012,liander,265.058
BRUCHEM,2013,liander,268.436
BRUCHEM,2014,liander,267.979
BRUCHEM,2015,liander,252.382
BRUCHEM,2016,liander,254.384
BRUCHEM,2017,liander,227.974
BRUCHEM,2018,liander,224.814
BRUCHEM,2019,liander,215.359
BRUCHT,2010,enexis,39.969
BRUCHT,2011,enexis,43.342
BRUCHT,2012,enexis,41.175
BRUCHT,2013,enexis,45.863
BRUCHT,2014,enexis,44.022
BRUCHT,2015,enexis,42.213
BRUCHT,2016,enexis,30.074
BRUCHT,2017,enexis,30.569
BRUCHT,2018,enexis,38.686
BRUCHT,2019,enexis,39.517
BRUCHTERVELD,2010,enexis,143.241
BRUCHTERVELD,2011,enexis,145.283
BRUCHTERVELD,2012,enexis,148.135
BRUCHTERVELD,2013,enexis,144.091
BRUCHTERVELD,2014,enexis,140.025
BRUCHTERVELD,2015,enexis,136.22
BRUCHTERVELD,2016,enexis,130.542
BRUCHTERVELD,2017,enexis,130.402
BRUCHTERVELD,2018,enexis,130.955
BRUCHTERVELD,2019,enexis,131.57
BRUINEHAAR,2010,enexis,13.304
BRUINEHAAR,2011,enexis,13.432
BRUINEHAAR,2012,enexis,15.05
BRUINEHAAR,2013,enexis,28.141
BRUINEHAAR,2014,enexis,25.515
BRUINEHAAR,2015,enexis,24.268
BRUINEHAAR,2016,enexis,33.852
BRUINEHAAR,2017,enexis,33.429
BRUINEHAAR,2018,enexis,36.517
BRUINEHAAR,2019,enexis,37.76
BRUMMEN,2010,liander,962.918
BRUMMEN,2011,liander,1009.94
BRUMMEN,2012,liander,1012.47
BRUMMEN,2013,liander,992.01
BRUMMEN,2014,liander,966.375
