city,years,smartmeter_cut,smartmeter_cut_count,companies
'S-HERTOGENBOSCH,2015,15,1929,enexis
'S-HERTOGENBOSCH,2015,25,2,enexis
'S-HERTOGENBOSCH,2016,15,2108,enexis
'S-HERTOGENBOSCH,2016,25,39,enexis
'S-HERTOGENBOSCH,2017,15,79,enexis
'S-HERTOGENBOSCH,2017,25,1569,enexis
'S-HERTOGENBOSCH,2017,35,493,enexis
'S-HERTOGENBOSCH,2017,45,1,enexis
'S-HERTOGENBOSCH,2018,15,3,enexis
'S-HERTOGENBOSCH,2018,25,147,enexis
'S-HERTOGENBOSCH,2018,35,521,enexis
'S-HERTOGENBOSCH,2018,45,1561,enexis
'S-HERTOGENBOSCH,2018,55,8,enexis
'S-HERTOGENBOSCH,2019,5,3,enexis
'S-HERTOGENBOSCH,2019,15,15,enexis
'S-HERTOGENBOSCH,2019,25,29,enexis
'S-HERTOGENBOSCH,2019,35,122,enexis
'S-HERTOGENBOSCH,2019,45,336,enexis
'S-HERTOGENBOSCH,2019,55,1182,enexis
'S-HERTOGENBOSCH,2019,65,568,enexis
'T GOY,2010,5,12,stedin
'T GOY,2011,5,12,stedin
'T GOY,2012,5,12,stedin
'T GOY,2013,5,11,stedin
'T GOY,2013,15,1,stedin
'T GOY,2014,5,9,stedin
'T GOY,2014,15,3,stedin
'T GOY,2015,5,8,stedin
'T GOY,2015,15,4,stedin
'T GOY,2016,5,1,stedin
'T GOY,2016,45,4,stedin
'T GOY,2016,55,1,stedin
'T GOY,2016,65,3,stedin
'T GOY,2016,75,1,stedin
'T GOY,2016,85,1,stedin
'T GOY,2016,95,1,stedin
'T GOY,2017,55,2,stedin
'T GOY,2017,65,2,stedin
'T GOY,2017,75,4,stedin
'T GOY,2017,85,2,stedin
'T GOY,2017,95,2,stedin
'T GOY,2018,55,2,stedin
'T GOY,2018,65,2,stedin
'T GOY,2018,75,4,stedin
'T GOY,2018,85,2,stedin
'T GOY,2018,95,2,stedin
'T GOY,2019,55,1,stedin
'T GOY,2019,65,2,stedin
'T GOY,2019,75,5,stedin
'T GOY,2019,85,2,stedin
'T GOY,2019,95,2,stedin
'T HAANTJE,2010,5,4,enexis
'T HAANTJE,2011,5,4,enexis
'T HAANTJE,2012,5,4,enexis
'T HAANTJE,2013,5,4,enexis
'T HAANTJE,2014,5,4,enexis
'T HAANTJE,2015,15,4,enexis
'T HAANTJE,2016,15,4,enexis
'T HAANTJE,2017,25,4,enexis
'T HAANTJE,2018,35,3,enexis
'T HAANTJE,2018,45,1,enexis
'T HAANTJE,2019,45,3,enexis
'T HAANTJE,2019,55,1,enexis
'T HARDE,2010,5,134,liander
'T HARDE,2011,5,132,liander
'T HARDE,2011,15,1,liander
'T HARDE,2011,25,1,liander
'T HARDE,2011,35,1,liander
'T HARDE,2011,45,1,liander
'T HARDE,2011,75,1,liander
'T HARDE,2011,85,1,liander
'T HARDE,2012,5,132,liander
'T HARDE,2012,15,2,liander
'T HARDE,2012,25,1,liander
'T HARDE,2012,35,1,liander
'T HARDE,2012,45,1,liander
'T HARDE,2012,75,2,liander
'T HARDE,2013,5,127,liander
'T HARDE,2013,15,5,liander
'T HARDE,2013,25,2,liander
'T HARDE,2013,35,1,liander
'T HARDE,2013,45,1,liander
'T HARDE,2013,55,1,liander
'T HARDE,2013,75,1,liander
'T HARDE,2013,85,1,liander
'T HARDE,2013,95,1,liander
'T HARDE,2014,5,124,liander
'T HARDE,2014,15,11,liander
'T HARDE,2014,25,4,liander
'T HARDE,2014,55,1,liander
'T HARDE,2014,85,1,liander
'T HARDE,2014,95,1,liander
'T HARDE,2015,5,111,liander
'T HARDE,2015,15,20,liander
'T HARDE,2015,25,8,liander
'T HARDE,2015,35,1,liander
'T HARDE,2015,55,1,liander
'T HARDE,2015,85,1,liander
'T HARDE,2015,95,1,liander
'T HARDE,2016,5,102,liander
'T HARDE,2016,15,26,liander
'T HARDE,2016,25,9,liander
'T HARDE,2016,35,1,liander
'T HARDE,2016,45,2,liander
'T HARDE,2016,55,1,liander
'T HARDE,2016,95,2,liander
'T HARDE,2017,5,72,liander
'T HARDE,2017,15,46,liander
'T HARDE,2017,25,15,liander
'T HARDE,2017,35,6,liander
'T HARDE,2017,45,1,liander
'T HARDE,2017,55,2,liander
'T HARDE,2017,95,2,liander
'T HARDE,2018,5,55,liander
'T HARDE,2018,15,50,liander
'T HARDE,2018,25,24,liander
'T HARDE,2018,35,9,liander
'T HARDE,2018,45,2,liander
'T HARDE,2018,55,2,liander
'T HARDE,2018,75,1,liander
'T HARDE,2018,95,1,liander
'T HARDE,2019,5,41,liander
'T HARDE,2019,15,41,liander
'T HARDE,2019,25,38,liander
'T HARDE,2019,35,18,liander
'T HARDE,2019,45,3,liander
'T HARDE,2019,55,3,liander
'T HARDE,2019,85,1,liander
'T HARDE,2019,95,1,liander
'T LOO OLDEBROEK,2010,5,20,liander
'T LOO OLDEBROEK,2011,5,20,liander
'T LOO OLDEBROEK,2012,5,20,liander
'T LOO OLDEBROEK,2013,5,19,liander
'T LOO OLDEBROEK,2013,15,1,liander
'T LOO OLDEBROEK,2014,5,17,liander
'T LOO OLDEBROEK,2014,15,2,liander
'T LOO OLDEBROEK,2014,25,1,liander
'T LOO OLDEBROEK,2015,5,14,liander
'T LOO OLDEBROEK,2015,15,3,liander
'T LOO OLDEBROEK,2015,25,3,liander
'T LOO OLDEBROEK,2016,5,13,liander
'T LOO OLDEBROEK,2016,15,2,liander
'T LOO OLDEBROEK,2016,25,4,liander
'T LOO OLDEBROEK,2016,35,1,liander
'T LOO OLDEBROEK,2017,5,8,liander
'T LOO OLDEBROEK,2017,15,6,liander
'T LOO OLDEBROEK,2017,25,5,liander
'T LOO OLDEBROEK,2017,45,1,liander
'T LOO OLDEBROEK,2018,5,6,liander
'T LOO OLDEBROEK,2018,15,7,liander
'T LOO OLDEBROEK,2018,25,6,liander
'T LOO OLDEBROEK,2018,35,1,liander
'T LOO OLDEBROEK,2018,45,1,liander
'T LOO OLDEBROEK,2019,5,5,liander
'T LOO OLDEBROEK,2019,15,6,liander
'T LOO OLDEBROEK,2019,25,8,liander
'T LOO OLDEBROEK,2019,35,1,liander
'T LOO OLDEBROEK,2019,45,1,liander
'T VELD,2010,5,37,liander
'T VELD,2011,5,37,liander
'T VELD,2012,5,37,liander
'T VELD,2013,5,36,liander
'T VELD,2013,15,1,liander
'T VELD,2014,5,33,liander
'T VELD,2014,15,3,liander
'T VELD,2014,25,1,liander
'T VELD,2015,5,29,liander
'T VELD,2015,15,4,liander
'T VELD,2015,25,4,liander
'T VELD,2015,55,1,liander
'T VELD,2016,5,26,liander
'T VELD,2016,15,7,liander
'T VELD,2016,25,5,liander
'T VELD,2016,55,1,liander
'T VELD,2017,45,1,liander
